fecha,producto_id,producto,categoria,precio,stock,descuento,cliente_id
2024-01-01,101,Laptop ASUS,Electrónica,1200.00,10,0.10,C001
2024-01-02,102,Mouse Logitech,Accesorios,25.99,50,0.00,C002
2024-01-03,103,Teclado Mecánico,Accesorios,85.50,30,0.05,C003
2024-01-04,104,Monitor LG 24,Electrónica,300.00,5,0.15,C001
2024-01-05,105,Escritorio Gamer,Muebles,450.00,3,0.20,C005
2024-01-06,106,Monitor Dell 27,Electrónica,500.00,8,0.10,C006
2024-01-07,107,Impresora HP,Equipos,250.00,0,0.00,C007
2024-01-08,108,Cable HDMI 2m,Accesorios,15.00,100,0.00,C008
2024-01-09,109,Webcam HD,Accesorios,85.00,20,0.05,C009
2024-01-10,110,Silla Gamer,Muebles,350.00,7,0.25,C002
2024-01-11,101,Laptop ASUS,Electrónica,1200.00,9,0.10,C010
2024-01-12,102,Mouse Logitech,Accesorios,25.99,49,0.00,C003
2024-01-13,111,Micrófono USB,Accesorios,60.00,15,0.10,C011
2024-01-14,105,Escritorio Gamer,Muebles,450.00,2,0.20,C012
2024-01-15,106,Monitor Dell 27,Electrónica,500.00,7,0.10,C013
2024-01-16,112,Soporte Monitor,Accesorios,35.00,25,0.00,C014
2024-01-17,107,Impresora HP,Equipos,250.00,0,0.00,C015
2024-01-18,113,Hub USB 3.0,Accesorios,45.00,40,0.05,C016
2024-01-19,114,Batería Externa,Accesorios,55.00,18,0.10,C017
2024-01-20,101,Laptop ASUS,Electrónica,1200.00,8,0.10,C018
2024-01-21,110,Router WiFi,Tecnologia,120.00,15,0.05,C004
