id_transaccion,fecha,cliente_id,cantidad,valor_total,estado_pago,forma_pago,observaciones
T001,2024-01-01,C001,1,1200,pagado,tarjeta,
T002,2024-01-02,C002,2,50,pagado,efectivo,
T003,2024-01-03,C003,1,85,pendiente,transferencia,Esperar confirmación
T004,2024-01-04,C001,1,300,pagado,tarjeta,
T005,2024-01-05,C005,1,450,pagado,tarjeta,
T006,2024-01-06,C006,1,500,cancelado,tarjeta,Cliente canceló orden
T007,2024-01-07,C007,0,0,cancelado,efectivo,No había stock
T008,2024-01-08,C008,3,45,pagado,transferencia,
T009,2024-01-09,C009,1,85,pendiente,efectivo,Cliente no vino a retirar
T010,2024-01-10,C002,1,350,pagado,tarjeta,
T011,2024-01-11,C010,1,1200,pagado,tarjeta,
T012,2024-01-12,C003,1,25,pagado,efectivo,
T013,2024-01-13,C011,2,120,pagado,transferencia,
T014,2024-01-14,C012,1,450,pagado,tarjeta,
T015,2024-01-15,C013,1,500,pagado,tarjeta,
T016,2024-01-16,C014,3,105,pagado,efectivo,
T017,2024-01-17,C015,0,0,cancelado,efectivo,Producto agotado
T018,2024-01-18,C016,2,90,pagado,transferencia,
T019,2024-01-19,C017,1,55,pendiente,tarjeta,Procesando
T020,2024-01-20,C018,1,1200,pagado,tarjeta,
